station,date,prcp,tobs,name,latitude,longitude,elevation
USC00519281,7/2/17,0.15,81,"WAIHEE 837.5, HI US",21.45167,-157.84889,32.9
USC00516128,7/2/17,0.5,78,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025,152.4
USC00519397,7/1/17,0.02,80,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3
USC00513117,7/1/17,0.06,76,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
USC00519281,7/1/17,0.08,79,"WAIHEE 837.5, HI US",21.45167,-157.84889,32.9
USC00516128,7/1/17,0.1,74,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025,152.4
USC00519397,6/30/17,0.08,75,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3
USC00513117,6/30/17,0.04,74,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
USC00514830,6/30/17,0,81,"KUALOA RANCH HEADQUARTERS 886.9, HI US",21.5213,-157.8374,7
USC00517948,6/30/17,0.12,74,"PEARL CITY, HI US",21.3934,-157.9751,11.9
USC00519523,6/30/17,0.07,75,"WAIMANALO EXPERIMENTAL FARM, HI US",21.33556,-157.71139,19.5
USC00519281,6/30/17,0.01,76,"WAIHEE 837.5, HI US",21.45167,-157.84889,32.9
USC00516128,6/30/17,0.2,75,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025,152.4
USC00519397,6/29/17,0,79,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3
USC00513117,6/29/17,0.03,76,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6
USC00517948,6/29/17,0,79,"PEARL CITY, HI US",21.3934,-157.9751,11.9
