Compound,Date,Negative,Neutral,Positive,Tweets Ago,UserName
0.6369,Sun Dec 10 00:09:55 +0000 2017,0,0.756,0.244,93,@CNN
0.4767,Sun Dec 10 00:09:55 +0000 2017,0,0.871,0.129,94,@CNN
-0.2732,Sun Dec 10 00:09:54 +0000 2017,0.1,0.9,0,95,@CNN
0,Sun Dec 10 00:09:54 +0000 2017,0,1,0,96,@CNN
0,Sun Dec 10 00:09:54 +0000 2017,0,1,0,97,@CNN
0,Sun Dec 10 00:09:53 +0000 2017,0,1,0,98,@CNN
-0.34,Sun Dec 10 00:09:52 +0000 2017,0.138,0.862,0,99,@CNN
0.4939,Sun Dec 10 00:09:52 +0000 2017,0,0.824,0.176,100,@CNN
0.1901,Sun Dec 10 00:10:52 +0000 2017,0.095,0.747,0.158,1,@FoxNews
0.765,Sun Dec 10 00:10:52 +0000 2017,0,0.548,0.452,2,@FoxNews
0.3612,Sun Dec 10 00:10:52 +0000 2017,0,0.8,0.2,3,@FoxNews
0,Sun Dec 10 00:10:52 +0000 2017,0,1,0,4,@FoxNews
0,Sun Dec 10 00:10:51 +0000 2017,0,1,0,5,@FoxNews
-0.1007,Sun Dec 10 00:10:51 +0000 2017,0.138,0.743,0.119,6,@FoxNews
-0.25,Sun Dec 10 00:10:50 +0000 2017,0.175,0.7,0.125,7,@FoxNews
0.5423,Sun Dec 10 00:10:49 +0000 2017,0,0.741,0.259,8,@FoxNews
0.5267,Sun Dec 10 00:10:48 +0000 2017,0,0.825,0.175,9,@FoxNews
-0.34,Sun Dec 10 00:10:48 +0000 2017,0.21,0.664,0.126,10,@FoxNews
-0.3412,Sun Dec 10 00:10:47 +0000 2017,0.085,0.915,0,11,@FoxNews
0,Sun Dec 10 00:10:47 +0000 2017,0,1,0,12,@FoxNews
-0.3885,Sun Dec 10 00:10:46 +0000 2017,0.291,0.525,0.184,13,@FoxNews
-0.3182,Sun Dec 10 00:10:46 +0000 2017,0.095,0.905,0,14,@FoxNews
0.6124,Sun Dec 10 00:10:46 +0000 2017,0,0.778,0.222,15,@FoxNews
-0.2732,Sun Dec 10 00:10:45 +0000 2017,0.189,0.811,0,16,@FoxNews
0.3818,Sun Dec 10 00:10:44 +0000 2017,0,0.833,0.167,17,@FoxNews
-0.5699,Sun Dec 10 00:10:44 +0000 2017,0.263,0.641,0.096,18,@FoxNews
-0.8271,Sun Dec 10 00:10:44 +0000 2017,0.49,0.51,0,19,@FoxNews
0.3252,Sun Dec 10 00:10:44 +0000 2017,0,0.873,0.127,20,@FoxNews
-0.9022,Sun Dec 10 00:10:44 +0000 2017,0.381,0.619,0,21,@FoxNews
0.4389,Sun Dec 10 00:10:43 +0000 2017,0,0.829,0.171,22,@FoxNews
0.1027,Sun Dec 10 00:10:42 +0000 2017,0,0.924,0.076,23,@FoxNews
0.5106,Sun Dec 10 00:10:42 +0000 2017,0,0.87,0.13,24,@FoxNews
-0.8625,Sun Dec 10 00:10:42 +0000 2017,0.348,0.652,0,25,@FoxNews
